pantone_name;rgb_r;rgb_g;rgb_b;rgb;hex;cmyk_c;cmyk_m;cmyk_y;cmyk_k
Process Yellow;255;255;0;255,255,0;#FFFF00;0;0;100;0
100;255;255;125;255,255,125;#FFFF7D;0;0;51;0
101;255;255;54;255,255,54;#FFFF36;0;0;79;0
102;255;252;13;255,252,13;#FFFC0D;0;1;95;0
Pantone Yellow;255;252;0;255,252,0;#FFFC00;0;1;100;0
103;209;203;0;209,203,0;#D1CB00;0;3;100;18
104;179;173;0;179,173,0;#B3AD00;0;3;100;30
105;128;124;0;128,124,0;#807C00;0;3;100;50
106;255;250;79;255,250,79;#FFFA4F;0;2;69;0
107;255;245;54;255,245,54;#FFF536;0;4;79;0
108;255;240;13;255,240,13;#FFF00D;0;6;95;0
109;255;230;0;255,230,0;#FFE600;0;10;100;0
110;237;209;0;237,209,0;#EDD100;0;12;100;7
111;186;166;0;186,166,0;#BAA600;0;11;100;27
112;158;142;0;158,142,0;#9E8E00;0;10;100;38
113;255;237;87;255,237,87;#FFED57;0;7;66;0
114;255;235;69;255,235,69;#FFEB45;0;8;73;0
115;255;232;51;255,232,51;#FFE833;0;9;80;0
116;255;214;0;255,214,0;#FFD600;0;16;100;0
117;217;178;0;217,178,0;#D9B200;0;18;100;15
118;186;153;0;186,153,0;#BA9900;0;18;100;27
119;130;114;0;130,114,0;#827200;0;12;100;49
120;255;232;107;255,232,107;#FFE86B;0;9;58;0
1205;255;242;176;255,242,176;#FFF2B0;0;5;31;0
121;255;227;79;255,227,79;#FFE34F;0;11;69;0
1215;255;232;140;255,232,140;#FFE88C;0;9;45;0
122;255;212;51;255,212,51;#FFD433;0;17;80;0
1225;255;212;97;255,212,97;#FFD461;0;17;62;0
123;255;194;15;255,194,15;#FFC20F;0;24;94;0
1235;255;181;23;255,181,23;#FFB517;0;29;91;0
124;240;173;0;240,173,0;#F0AD00;0;28;100;6
1245;209;151;0;209,151,0;#D19700;0;28;100;18
125;189;140;0;189,140,0;#BD8C00;0;26;100;26
1255;168;123;0;168,123,0;#A87B00;0;27;100;34
126;161;120;0;161,120,0;#A17800;0;25;100;37
1265;125;91;0;125,91,0;#7D5B00;0;27;100;51
127;255;237;128;255,237,128;#FFED80;0;7;50;0
128;255;227;89;255,227,89;#FFE359;0;11;65;0
129;255;214;59;255,214,59;#FFD63B;0;16;77;0
130;255;179;0;255,179,0;#FFB300;0;30;100;0
131;232;158;0;232,158,0;#E89E00;0;32;100;9
132;179;129;0;179,129,0;#B38100;0;28;100;30
133;112;90;0;112,90,0;#705A00;0;20;100;56
134;255;227;140;255,227,140;#FFE38C;0;11;45;0
1345;255;219;135;255,219,135;#FFDB87;0;14;47;0
135;255;207;102;255,207,102;#FFCF66;0;19;60;0
1355;255;204;112;255,204,112;#FFCC70;0;20;56;0
136;255;186;61;255,186,61;#FFBA3D;0;27;76;0
1365;255;181;71;255,181,71;#FFB547;0;29;72;0
137;255;166;26;255,166,26;#FFA61A;0;35;90;0
1375;255;153;26;255,153,26;#FF991A;0;40;90;0
138;252;146;0;252,146,0;#FC9200;0;42;100;1
1385;237;133;0;237,133,0;#ED8500;0;44;100;7
139;196;124;0;196,124,0;#C47C00;0;37;100;23
1395;161;95;0;161,95,0;#A15F00;0;41;100;37
140;117;86;0;117,86,0;#755600;0;27;100;54
1405;94;60;0;94,60,0;#5E3C00;0;36;100;63
141;255;207;125;255,207,125;#FFCF7D;0;19;51;0
142;255;184;61;255,184,61;#FFB83D;0;28;76;0
143;255;166;38;255,166,38;#FFA626;0;35;85;0
144;255;133;0;255,133,0;#FF8500;0;48;100;0
145;235;124;0;235,124,0;#EB7C00;0;47;100;8
146;171;97;0;171,97,0;#AB6100;0;43;100;33
147;112;81;0;112,81,0;#705100;0;28;100;56
148;255;214;161;255,214,161;#FFD6A1;0;16;37;0
1485;255;186;117;255,186,117;#FFBA75;0;27;54;0
149;255;196;135;255,196,135;#FFC487;0;23;47;0
1495;255;171;84;255,171,84;#FFAB54;0;33;67;0
150;255;166;77;255,166,77;#FFA64D;0;35;70;0
1505;255;148;59;255,148,59;#FF943B;0;42;77;0
Orange 021;255;120;0;255,120,0;#FF7800;0;53;100;0
151;255;133;13;255,133,13;#FF850D;0;48;95;0
152;252;124;0;252,124,0;#FC7C00;0;51;100;1
1525;230;96;0;230,96,0;#E66000;0;58;100;10
153;209;113;0;209,113,0;#D17100;0;46;100;18
1535;158;74;0;158,74,0;#9E4A00;0;53;100;38
154;168;91;0;168,91,0;#A85B00;0;46;100;34
1545;71;34;0;71,34,0;#472200;0;53;100;72
155;255;224;184;255,224,184;#FFE0B8;0;12;28;0
1555;255;199;168;255,199,168;#FFC7A8;0;22;34;0
156;255;199;148;255,199,148;#FFC794;0;22;42;0
1565;255;168;130;255,168,130;#FFA882;0;34;49;0
157;255;145;77;255,145,77;#FF914D;0;43;70;0
1575;255;140;71;255,140,71;#FF8C47;0;45;72;0
158;255;99;8;255,99,8;#FF6308;0;61;97;0
1585;255;112;26;255,112,26;#FF701A;0;56;90;0
159;237;81;0;237,81,0;#ED5100;0;66;100;7
1595;242;99;0;242,99,0;#F26300;0;59;100;5
160;173;66;0;173,66,0;#AD4200;0;62;100;32
1605;179;79;0;179,79,0;#B34F00;0;56;100;30
161;92;44;0;92,44,0;#5C2C00;0;52;100;64
1615;145;64;0;145,64,0;#914000;0;56;100;43
162;255;217;199;255,217,199;#FFD9C7;0;15;22;0
1625;255;176;161;255,176,161;#FFB0A1;0;31;37;0
163;255;176;143;255,176,143;#FFB08F;0;31;44;0
1635;255;156;133;255,156,133;#FF9C85;0;39;48;0
164;255;138;69;255,138,69;#FF8A45;0;46;73;0
1645;255;130;87;255,130,87;#FF8257;0;49;66;0
165;255;105;10;255,105,10;#FF690A;0;59;96;0
1655;255;94;23;255,94,23;#FF5E17;0;63;91;0
166;255;92;0;255,92,0;#FF5C00;0;64;100;0
1665;255;82;0;255,82,0;#FF5200;0;68;100;0
167;212;85;0;212,85,0;#D45500;0;60;100;17
1675;184;61;0;184,61,0;#B83D00;0;67;100;28
168;105;45;0;105,45,0;#692D00;0;57;100;59
1685;143;46;0;143,46,0;#8F2E00;0;68;100;44
169;255;204;204;255,204,204;#FFCCCC;0;20;20;0
170;255;153;143;255,153,143;#FF998F;0;40;44;0
171;255;120;82;255,120,82;#FF7852;0;53;68;0
172;255;87;31;255,87,31;#FF571F;0;66;88;0
173;245;76;0;245,76,0;#F54C00;0;69;100;4
174;163;49;0;163,49,0;#A33100;0;70;100;36
175;102;36;0;102,36,0;#662400;0;65;100;60
176;255;191;209;255,191,209;#FFBFD1;0;25;18;0
1765;255;158;201;255,158,201;#FF9EC9;0;38;21;0
1767;255;186;224;255,186,224;#FFBAE0;0;27;12;0
177;255;140;153;255,140,153;#FF8C99;0;45;40;0
1775;255;135;181;255,135,181;#FF87B5;0;47;29;0
1777;255;107;163;255,107,163;#FF6BA3;0;58;36;0
178;255;105;112;255,105,112;#FF6970;0;59;56;0
Warm Red;255;64;26;255,64,26;#FF401A;0;75;90;0
1785;255;84;128;255,84,128;#FF5480;0;67;50;0
1787;255;61;102;255,61,102;#FF3D66;0;76;60;0
Red 032;255;26;36;255,26,36;#FF1A24;0;90;86;0
1788;255;41;31;255,41,31;#FF291F;0;84;88;0
179;255;54;0;255,54,0;#FF3600;0;79;100;0
1795;255;15;0;255,15,0;#FF0F00;0;94;100;0
1797;245;0;2;245,0,2;#F50002;0;100;99;4
180;227;48;0;227,48,0;#E33000;0;79;100;11
1805;196;18;0;196,18,0;#C41200;0;91;100;23
1807;184;0;7;184,0,7;#B80007;0;100;96;28
181;135;35;0;135,35,0;#872300;0;74;100;47
1815;125;12;0;125,12,0;#7D0C00;0;90;100;51
1817;87;9;0;87,9,0;#570900;0;90;100;66
182;255;189;230;255,189,230;#FFBDE6;0;26;10;0
183;255;138;201;255,138,201;#FF8AC9;0;46;21;0
184;255;82;150;255,82,150;#FF5296;0;68;41;0
185;255;23;61;255,23,61;#FF173D;0;91;76;0
186;245;0;47;245,0,47;#F5002F;0;100;81;4
187;204;0;43;204,0,43;#CC002B;0;100;79;20
188;128;4;0;128,4,0;#800400;0;97;100;50
189;255;161;230;255,161,230;#FFA1E6;0;37;10;0
1895;255;184;237;255,184,237;#FFB8ED;0;28;7;0
190;255;115;199;255,115,199;#FF73C7;0;55;22;0
1905;255;150;232;255,150,232;#FF96E8;0;41;9;0
191;255;61;158;255,61,158;#FF3D9E;0;76;38;0
1915;255;74;204;255,74,204;#FF4ACC;0;71;20;0
192;255;0;82;255,0,82;#FF0052;0;100;68;0
1925;255;0;115;255,0,115;#FF0073;0;100;55;0
193;222;0;75;222,0,75;#DE004B;0;100;66;13
1935;242;0;104;242,0,104;#F20068;0;100;57;5
194;171;0;62;171,0,62;#AB003E;0;100;64;33
1945;207;0;91;207,0,91;#CF005B;0;100;56;19
195;115;0;46;115,0,46;#73002E;0;100;60;55
1955;161;0;64;161,0,64;#A10040;0;100;60;37
196;255;191;245;255,191,245;#FFBFF5;0;25;4;0
